INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
222019886,3807,,M/V ACCIDENT - OTHER CITY VEHICLE,D4, ,0,21-03-2022 22:39,2022,3,Monday,22,,"TREMONT ST & MASSACHUSETTS AVE
BOSTON  MA 02118
UN",42.33930997,-71.08032002,"(42.33930997103642, -71.08032001996342)"
222019884,1831,,SICK ASSIST,E18, ,0,21-03-2022 22:01,2022,3,Monday,22,,COLLINS ST,42.27051329,-71.11988863,"(42.27051329046605, -71.11988863076165)"
222019882,3006,,SICK/INJURED/MEDICAL - PERSON,D14, ,0,21-03-2022 21:33,2022,3,Monday,21,,CHISWICK RD,42.34059097,-71.1519725,"(42.34059097048936, -71.1519725043284)"
222019881,3803,,M/V ACCIDENT - PERSONAL INJURY,E5, ,0,21-03-2022 21:15,2022,3,Monday,21,,LAGRANGE ST,42.29277797,-71.16989709,"(42.292777965403246, -71.16989709396327)"
222019879,3115,,INVESTIGATE PERSON,B2,262,0,21-03-2022 20:26,2022,3,Monday,20,,WOODVILLE ST,42.32091419,-71.07546293,"(42.320914192258, -71.07546292723984)"
222019877,423,,ASSAULT - AGGRAVATED,A1, ,0,21-03-2022 21:24,2022,3,Monday,21,,BROMFIELD ST,42.35698857,-71.06084937,"(42.356988569940135, -71.06084936983262)"
222019876,3001,,DEATH INVESTIGATION,C11, ,0,21-03-2022 21:12,2022,3,Monday,21,,TALBOT AVE,42.29004971,-71.07021576,"(42.29004970594142, -71.07021576130515)"
222019873,801,,ASSAULT - SIMPLE,C6, ,0,21-03-2022 21:29,2022,3,Monday,21,,"OLD COLONY AVE & PREBLE ST
SOUTH BOSTON  MA 02127
",42.32920804,-71.05260601,"(42.32920804109186, -71.0526060098937)"
222019871,3410,,TOWED MOTOR VEHICLE,C6, ,0,21-03-2022 21:10,2022,3,Monday,21,,W BROADWAY,42.33731438,-71.04852327,"(42.33731437923188, -71.04852327000334)"
222019869,613,,LARCENY SHOPLIFTING,B2, ,0,21-03-2022 21:30,2022,3,Monday,21,,BLUE HILL AVE,42.30896999,-71.08284839,"(42.308969992788, -71.08284838641052)"
222019868,724,,AUTO THEFT,D14,778,0,21-03-2022 20:01,2022,3,Monday,20,,WASHINGTON ST,42.349056,-71.1504985,"(42.34905600030506, -71.15049849975023)"
222019867,3115,,INVESTIGATE PERSON,C11, ,0,21-03-2022 19:39,2022,3,Monday,19,,GRANGER ST,42.30258532,-71.05724301,"(42.3025853237653, -71.0572430142515)"
222019866,1831,,SICK ASSIST,B3, ,0,21-03-2022 20:57,2022,3,Monday,20,,WESTMORE RD,42.28469164,-71.09621547,"(42.284691637688994, -71.09621547481711)"
222019865,3207,,PROPERTY - FOUND,E18,520,0,21-03-2022 20:00,2022,3,Monday,20,,HYDE PARK AVE,42.25621592,-71.12401947,"(42.256215920402155, -71.12401947329023)"
222019864,3503,,MISSING PERSON - NOT REPORTED - LOCATED,D4, ,0,21-03-2022 19:55,2022,3,Monday,19,,HARRISON AVE,42.33555954,-71.07436364,"(42.335559540812085, -71.07436363774369)"
222019863,3115,,INVESTIGATE PERSON,B2,264,0,21-03-2022 20:37,2022,3,Monday,20,,BLUE HILL AVE,42.31894276,-71.07775788,"(42.31894276080241, -71.07775788364356)"
222019861,3001,,DEATH INVESTIGATION,B2, ,0,21-03-2022 20:04,2022,3,Monday,20,,HOWARD PL,42.31999778,-71.07216685,"(42.31999778260087, -71.07216685076597)"
222019860,520,,BURGLARY - RESIDENTIAL,E13,574,0,07-03-2022 17:45,2022,3,Monday,17,,WASHINGTON STREET,0,0,"(0, 0)"
222019859,1831,,SICK ASSIST,A1,79,0,21-03-2022 20:17,2022,3,Monday,20,,ENDICOTT ST,42.36608506,-71.05767842,"(42.36608505985662, -71.0576784247816)"
222019857,2647,,THREATS TO DO BODILY HARM,A1,77,0,21-03-2022 17:50,2022,3,Monday,17,,SUDBURY ST,0,0,"(0, 0)"
222019856,801,,ASSAULT - SIMPLE,A15, ,0,21-03-2022 17:10,2022,3,Monday,17,,CAMBRIDGE ST,42.38378962,-71.07480607,"(42.38378961696154, -71.07480607227383)"
222019855,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E18, ,0,21-03-2022 20:16,2022,3,Monday,20,,HUNTINGTON AVE,42.26886966,-71.11802566,"(42.26886965956429, -71.1180256580887)"
222019853,1831,,SICK ASSIST,A1, ,0,21-03-2022 20:04,2022,3,Monday,20,,PHILLIPS ST,42.36027809,-71.06899805,"(42.36027809483424, -71.06899804851336)"
222019852,3114,,INVESTIGATE PROPERTY,E5,691,0,21-03-2022 09:00,2022,3,Monday,9,,CENTRE ST,42.28709355,-71.14822128,"(42.28709355259107, -71.14822128377165)"
222019850,801,,ASSAULT - SIMPLE,E13, ,0,21-03-2022 17:55,2022,3,Monday,17,,ROBINWOOD AVE,42.31624019,-71.11267011,"(42.316240188860284, -71.1126701066929)"
222019849,3301,,VERBAL DISPUTE,A7, ,0,21-03-2022 19:43,2022,3,Monday,19,,CHELSEA ST,42.37172266,-71.03665549,"(42.37172265802672, -71.0366554935452)"
222019848,1831,,SICK ASSIST,A1,114,0,21-03-2022 00:00,2022,3,Monday,0,,"ATLANTIC AVE & SUMMER ST
BOSTON  MA 02210
UNITED S",42.35266103,-71.05535697,"(42.352661027155236, -71.0553569694644)"
222019847,423,,ASSAULT - AGGRAVATED,B3, ,0,21-03-2022 18:55,2022,3,Monday,18,,WALES ST,42.29752097,-71.08502291,"(42.29752097279298, -71.08502291448018)"
222019843,3501,,MISSING PERSON,E5,691,0,21-03-2022 11:00,2022,3,Monday,11,,CENTRE ST,42.28709355,-71.14822128,"(42.28709355259107, -71.14822128377165)"
222019841,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,A7,20,0,21-03-2022 18:41,2022,3,Monday,18,,PARIS ST,42.37702318,-71.0322473,"(42.377023184751344, -71.03224729815983)"
222019840,3802,,M/V ACCIDENT - PROPERTY DAMAGE,E18,533,0,21-03-2022 19:13,2022,3,Monday,19,,READVILLE ST,42.24525124,-71.13465321,"(42.24525123565882, -71.13465320786364)"
222019839,3201,,PROPERTY - LOST/ MISSING,A1,77,0,18-03-2022 21:00,2022,3,Friday,21,,SUDBURY ST,0,0,"(0, 0)"
222019836,3115,,INVESTIGATE PERSON,B2, ,0,21-03-2022 18:24,2022,3,Monday,18,,DUDLEY ST,42.32788516,-71.07770633,"(42.32788515564694, -71.077706327428)"
222019835,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5, ,0,21-03-2022 18:53,2022,3,Monday,18,,"WELLSMERE RD & WASHINGTON ST
ROSLINDALE  MA 02131
",42.280104,-71.13493495,"(42.28010400049217, -71.1349349510901)"
222019834,3201,,PROPERTY - LOST/ MISSING,D14,778,0,01-02-2022 07:00,2022,2,Tuesday,7,,WASHINGTON ST,42.349056,-71.1504985,"(42.34905600030506, -71.15049849975023)"
222019833,619,,LARCENY ALL OTHERS,D4, ,0,20-03-2022 13:00,2022,3,Sunday,13,,HARRISON AVE,42.33954199,-71.06940877,"(42.33954198983014, -71.06940876967543)"
222019831,3802,,M/V ACCIDENT - PROPERTY DAMAGE,A7, ,0,21-03-2022 18:36,2022,3,Monday,18,,"SARATOGA ST & PUTNAM ST
EAST BOSTON  MA 02128
UNIT",42.37824799,-71.03196294,"(42.37824799320488, -71.0319629404986)"
222019830,724,,AUTO THEFT,A7,16,0,18-03-2022 21:30,2022,3,Friday,21,,"E EAGLE ST & PRESCOTT ST
BOSTON  MA 02128
UNITED S",42.38134004,-71.03138997,"(42.38134003989553, -71.03138996761446)"
222019829,301,,ROBBERY,C6, ,0,21-03-2022 17:59,2022,3,Monday,17,,GENERAL WILLIAM H DEVINE WAY,42.32859767,-71.05363334,"(42.32859767171083, -71.05363334040032)"
222019828,3006,,SICK/INJURED/MEDICAL - PERSON,C11, ,0,21-03-2022 18:01,2022,3,Monday,18,,GALLIVAN BLVD,42.283363,-71.05037781,"(42.28336300167704, -71.05037781059188)"
222019827,301,,ROBBERY,B3, ,0,21-03-2022 18:54,2022,3,Monday,18,,TENNIS RD,42.27615691,-71.09550303,"(42.27615691256162, -71.0955030303829)"
222019826,2905,,VAL - VIOLATION OF AUTO LAW,C11,450,0,21-03-2022 17:23,2022,3,Monday,17,,WASHINGTON ST,42.35358129,-71.06236665,"(42.35358129214585, -71.06236664552554)"
222019825,3115,,INVESTIGATE PERSON,B2, ,0,21-03-2022 16:09,2022,3,Monday,16,,HOMESTEAD ST,42.31242132,-71.09154902,"(42.31242132328873, -71.09154902053524)"
222019824,3114,,INVESTIGATE PROPERTY,C11,355,0,21-03-2022 18:15,2022,3,Monday,18,,GIBSON ST,42.29755533,-71.0597091,"(42.29755532959655, -71.05970910242573)"
222019823,2670,,HARASSMENT/ CRIMINAL HARASSMENT,A1, ,0,21-03-2022 18:47,2022,3,Monday,18,,SUDBURY ST,0,0,"(0, 0)"
222019820,520,,BURGLARY - RESIDENTIAL,E13, ,0,21-03-2022 17:54,2022,3,Monday,17,,MORTON ST,42.30056444,-71.11016791,"(42.30056444371525, -71.11016790927228)"
222019818,1102,,FRAUD - FALSE PRETENSE / SCHEME,C6, ,0,19-03-2022 18:31,2022,3,Saturday,18,,W BROADWAY,42.3412875,-71.05467933,"(42.341287504390436, -71.05467932649397)"
222019816,613,,LARCENY SHOPLIFTING,D4, ,0,21-03-2022 17:56,2022,3,Monday,17,,MASSACHUSETTS AVE,42.34439568,-71.08632016,"(42.34439568415443, -71.08632016344815)"
222019815,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E18,493,0,21-03-2022 17:00,2022,3,Monday,17,,RIVER ST,42.26194848,-71.10971613,"(42.26194848155656, -71.1097161253539)"
222019814,3820,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,D4, ,0,21-03-2022 17:55,2022,3,Monday,17,,BAY STATE RD,42.35002485,-71.09646321,"(42.350024846458766, -71.09646320567774)"
222019813,3207,,PROPERTY - FOUND,D4,167,0,21-03-2022 17:00,2022,3,Monday,17,,HARRISON AVE,42.33954199,-71.06940877,"(42.33954198983014, -71.06940876967543)"
222019812,1107,,FRAUD - IMPERSONATION,C6,207,0,16-03-2022 08:00,2022,3,Wednesday,8,,NORTHERN AVE,42.34869812,-71.03861624,"(42.34869812421019, -71.03861624357477)"
222019811,1831,,SICK ASSIST,E13, ,0,21-03-2022 17:00,2022,3,Monday,17,,CENTRE ST,42.32283759,-71.10096723,"(42.32283758702995, -71.10096722512631)"
222019810,613,,LARCENY SHOPLIFTING,B2,329,0,12-03-2022 18:00,2022,3,Saturday,18,,BLUE HILL AVE,42.30896999,-71.08284839,"(42.308969992788, -71.08284838641052)"
222019809,616,,LARCENY THEFT OF BICYCLE,A1,77,0,18-03-2022 09:00,2022,3,Friday,9,,SUDBURY ST,0,0,"(0, 0)"
222019807,3205,,M/V PLATES - LOST,E5,691,0,19-03-2022 21:00,2022,3,Saturday,21,,CENTRE ST,42.28709355,-71.14822128,"(42.28709355259107, -71.14822128377165)"
222019806,3115,,INVESTIGATE PERSON,E18, ,0,21-03-2022 17:07,2022,3,Monday,17,,BUSINESS ST,42.25442915,-71.1263254,"(42.25442915009549, -71.12632540065087)"
222019803,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,355,0,20-03-2022 16:00,2022,3,Sunday,16,,GIBSON ST,42.29755533,-71.0597091,"(42.29755532959655, -71.05970910242573)"
222019802,2648,,BOMB THREAT,B2, ,0,21-03-2022 15:43,2022,3,Monday,15,,SMITH ST,42.33353077,-71.09845207,"(42.33353077284243, -71.09845207085446)"
222019801,3115,,INVESTIGATE PERSON,E18, ,0,21-03-2022 17:46,2022,3,Monday,17,,CLARE AVE,42.27759995,-71.11826386,"(42.27759995361147, -71.11826386317905)"
222019800,3301,,VERBAL DISPUTE,A1,77,0,21-03-2022 17:30,2022,3,Monday,17,,SUDBURY ST,0,0,"(0, 0)"
222019799,3114,,INVESTIGATE PROPERTY,A1, ,0,21-03-2022 17:09,2022,3,Monday,17,,SOUTH ST,42.35110203,-71.05735186,"(42.35110202802516, -71.05735186002936)"
222019798,2670,,HARASSMENT/ CRIMINAL HARASSMENT,B2,282,0,21-03-2022 17:30,2022,3,Monday,17,,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866283555608, -71.08563401183545)"
222019797,1402,,VANDALISM,D4, ,0,21-03-2022 17:25,2022,3,Monday,17,,WASHINGTON ST,42.33675015,-71.07662788,"(42.33675015422942, -71.07662787936337)"
222019796,1402,,VANDALISM,C11, ,0,21-03-2022 16:53,2022,3,Monday,16,,MELLEN ST,42.28592562,-71.06788649,"(42.285925624880974, -71.06788649490437)"
222019795,3201,,PROPERTY - LOST/ MISSING,C6,200,0,20-03-2022 15:00,2022,3,Sunday,15,,W BROADWAY,42.3412875,-71.05467933,"(42.341287504390436, -71.05467932649397)"
222019794,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,, ,0,10-03-2022 19:00,2022,3,Thursday,19,,WASHINGTON ST,0,0,"(0, 0)"
222019792,613,,LARCENY SHOPLIFTING,D4,143,0,21-03-2022 17:04,2022,3,Monday,17,,HUNTINGTON AVE,42.34749899,-71.07925506,"(42.347498990301546, -71.07925505600643)"
222019791,1402,,VANDALISM,D4, ,0,16-03-2022 07:30,2022,3,Wednesday,7,,HARRISON AVE,42.33954199,-71.06940877,"(42.33954198983014, -71.06940876967543)"
222019790,3201,,PROPERTY - LOST/ MISSING,A1,77,0,21-03-2022 13:00,2022,3,Monday,13,,SUDBURY ST,0,0,"(0, 0)"
222019716,3207,,PROPERTY - FOUND,C6,200,0,20-03-2022 16:00,2022,3,Sunday,16,,W BROADWAY,42.3412875,-71.05467933,"(42.341287504390436, -71.05467932649397)"
222019789,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1, ,0,21-03-2022 17:10,2022,3,Monday,17,,"TREMONT ST & WINTER ST
BOSTON  MA 02111
UNITED STA",42.35624902,-71.06227102,"(42.35624901546548, -71.06227102011543)"
222019788,3802,,M/V ACCIDENT - PROPERTY DAMAGE,C11,362,0,21-03-2022 00:00,2022,3,Monday,0,,MELVILLE LN,42.2932487,-71.07113901,"(42.293248698212466, -71.0711390099648)"
222019787,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1, ,0,21-03-2022 17:07,2022,3,Monday,17,,WASHINGTON ST,42.35272947,-71.06256291,"(42.35272947428534, -71.06256290848422)"
222019786,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1, ,0,21-03-2022 17:06,2022,3,Monday,17,,"CANAL ST & ANTHONY RIP VALENTI WAY
BOSTON  MA 0211",42.36434303,-71.05987601,"(42.3643430261743, -71.05987600796638)"
222019785,1831,,SICK ASSIST,E5, ,0,21-03-2022 16:00,2022,3,Monday,16,,W BOUNDARY RD,42.2647628,-71.14657354,"(42.26476280330585, -71.14657353502702)"
222019783,613,,LARCENY SHOPLIFTING,C11, ,0,21-03-2022 14:18,2022,3,Monday,14,,DORCHESTER AVE,42.31322413,-71.05715277,"(42.313224131441764, -71.05715277240792)"
222019782,1831,,SICK ASSIST,C11, ,0,21-03-2022 09:55,2022,3,Monday,9,,POPES HILL ST,42.29317873,-71.04935112,"(42.293178727014975, -71.04935112047676)"
222019781,3301,,VERBAL DISPUTE,C11, ,0,21-03-2022 16:40,2022,3,Monday,16,,GIBSON ST,42.29755533,-71.0597091,"(42.29755532959655, -71.05970910242573)"
222019780,801,,ASSAULT - SIMPLE,D4, ,0,21-03-2022 15:50,2022,3,Monday,15,,E BERKELEY ST,42.34322816,-71.06343087,"(42.34322816346486, -71.06343086675803)"
222019779,1106,,FRAUD - CREDIT CARD / ATM FRAUD,C6,200,0,01-01-2022 08:00,2022,1,Saturday,8,,W BROADWAY,42.3412875,-71.05467933,"(42.341287504390436, -71.05467932649397)"
222019778,3115,,INVESTIGATE PERSON,D4, ,0,21-03-2022 15:27,2022,3,Monday,15,,MASSACHUSETTS AVE,42.34439568,-71.08632016,"(42.34439568415443, -71.08632016344815)"
222019776,619,,LARCENY ALL OTHERS,E18,498,0,19-03-2022 09:35,2022,3,Saturday,9,,HYDE PARK AVE,42.27593555,-71.11965522,"(42.27593554908424, -71.11965521547567)"
222019774,3201,,PROPERTY - LOST/ MISSING,D4,167,0,01-03-2022 00:00,2022,3,Tuesday,0,,HARRISON AVE,42.33954199,-71.06940877,"(42.33954198983014, -71.06940876967543)"
222019773,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,200,0,18-03-2022 14:30,2022,3,Friday,14,,W BROADWAY,42.3412875,-71.05467933,"(42.341287504390436, -71.05467932649397)"
222019772,619,,LARCENY ALL OTHERS,C6, ,0,21-03-2022 15:51,2022,3,Monday,15,,MASSACHUSETTS AVE,42.32553801,-71.06579592,"(42.32553800747192, -71.06579591901075)"
222019770,3114,,INVESTIGATE PROPERTY,C11,355,0,21-03-2022 10:00,2022,3,Monday,10,,GIBSON ST,42.29755533,-71.0597091,"(42.29755532959655, -71.05970910242573)"
222019769,3820,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,E13,636,0,21-03-2022 15:40,2022,3,Monday,15,,CENTRE ST,42.32015414,-71.11119859,"(42.32015413918788, -71.11119859027536)"
222019767,1300,,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,E5, ,0,21-03-2022 15:33,2022,3,Monday,15,,WASHINGTON ST,42.28915799,-71.12522353,"(42.28915798842684, -71.12522353327712)"
222019765,1102,,FRAUD - FALSE PRETENSE / SCHEME,E18,520,0,03-03-2022 00:00,2022,3,Thursday,0,,HYDE PARK AVE,42.25621592,-71.12401947,"(42.256215920402155, -71.12401947329023)"
222019763,2647,,THREATS TO DO BODILY HARM,E5, ,0,21-03-2022 15:13,2022,3,Monday,15,,GEORGETOWNE DR,42.25845301,-71.14489226,"(42.25845301253186, -71.14489226047574)"
222019762,3115,,INVESTIGATE PERSON,C6, ,0,20-03-2022 15:51,2022,3,Sunday,15,,W FIFTH ST,42.33702107,-71.05170118,"(42.33702106856241, -71.05170118040039)"
222019761,3801,,M/V ACCIDENT - OTHER,E13, ,0,21-03-2022 14:16,2022,3,Monday,14,,CAROLINA AVE,42.30792373,-71.11229741,"(42.30792372988032, -71.1122974111016)"
222019760,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,778,0,21-03-2022 00:00,2022,3,Monday,0,,WASHINGTON ST,42.349056,-71.1504985,"(42.34905600030506, -71.15049849975023)"
222019759,617,,LARCENY THEFT FROM BUILDING,D14,778,0,21-03-2022 12:08,2022,3,Monday,12,,WASHINGTON ST,42.349056,-71.1504985,"(42.34905600030506, -71.15049849975023)"
222019758,1831,,SICK ASSIST,E18, ,0,21-03-2022 14:41,2022,3,Monday,14,,CENTRAL AVE,42.25935892,-71.12032517,"(42.259358918227626, -71.12032517428784)"
222019757,3201,,PROPERTY - LOST/ MISSING,A1,77,0,19-03-2022 11:20,2022,3,Saturday,11,,SUDBURY ST,0,0,"(0, 0)"
222019755,1102,,FRAUD - FALSE PRETENSE / SCHEME,C11,355,0,24-02-2022 00:00,2022,2,Thursday,0,,GIBSON ST,42.29755533,-71.0597091,"(42.29755532959655, -71.05970910242573)"
222019754,1831,,SICK ASSIST,D4, ,0,21-03-2022 14:37,2022,3,Monday,14,,TREMONT ST,42.345903,-71.06946322,"(42.345903001121, -71.0694632197341)"
222019753,3201,,PROPERTY - LOST/ MISSING,D14,778,0,19-03-2022 15:00,2022,3,Saturday,15,,WASHINGTON ST,42.349056,-71.1504985,"(42.34905600030506, -71.15049849975023)"
222019748,801,,ASSAULT - SIMPLE,C6, ,0,21-03-2022 14:44,2022,3,Monday,14,,MASSACHUSETTS AVE,42.32779976,-71.06771009,"(42.32779976062572, -71.06771008677431)"
222019746,619,,LARCENY ALL OTHERS,D14,778,0,19-03-2022 11:56,2022,3,Saturday,11,,WASHINGTON ST,42.349056,-71.1504985,"(42.34905600030506, -71.15049849975023)"
222019744,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E18,520,0,21-03-2022 14:45,2022,3,Monday,14,,HYDE PARK AVE,42.25621592,-71.12401947,"(42.256215920402155, -71.12401947329023)"
222019743,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13, ,0,21-03-2022 14:30,2022,3,Monday,14,,WASHINGTON ST,42.30971857,-71.10429432,"(42.30971856767274, -71.10429431787648)"
222019742,3410,,TOWED MOTOR VEHICLE,B2, ,0,21-03-2022 14:21,2022,3,Monday,14,,CRESTWOOD PARK,42.31794835,-71.08774652,"(42.31794835213825, -71.08774652143991)"
222019741,619,,LARCENY ALL OTHERS,A1, ,0,21-03-2022 14:11,2022,3,Monday,14,,BOYLSTON ST,42.35241815,-71.06525499,"(42.352418147286066, -71.06525498581209)"
222019740,619,,LARCENY ALL OTHERS,C11,355,0,20-03-2022 16:00,2022,3,Sunday,16,,GIBSON ST,42.29755533,-71.0597091,"(42.29755532959655, -71.05970910242573)"
222019739,3801,,M/V ACCIDENT - OTHER,E13, ,0,21-03-2022 13:10,2022,3,Monday,13,,SEAVERNS AVE,42.31191224,-71.11246235,"(42.31191224094727, -71.11246234961222)"
222019738,423,,ASSAULT - AGGRAVATED,B3,444,0,21-03-2022 14:12,2022,3,Monday,14,,HARVARD ST,42.29600751,-71.08387509,"(42.29600750541133, -71.08387509148848)"
222019737,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,465,0,20-03-2022 18:00,2022,3,Sunday,18,,BLUE HILL AVE,42.28482577,-71.09137369,"(42.28482576580488, -71.09137368938802)"
222019736,423,,ASSAULT - AGGRAVATED,B3, ,1,21-03-2022 10:25,2022,3,Monday,10,,MORTON ST,42.28028398,-71.08235497,"(42.28028398350027, -71.08235497076961)"
222019732,3201,,PROPERTY - LOST/ MISSING,D14,778,0,21-03-2022 12:00,2022,3,Monday,12,,WASHINGTON ST,42.349056,-71.1504985,"(42.34905600030506, -71.15049849975023)"
222019730,801,,ASSAULT - SIMPLE,C11,355,0,20-03-2022 15:00,2022,3,Sunday,15,,GIBSON ST,42.29755533,-71.0597091,"(42.29755532959655, -71.05970910242573)"
